application_id,candidate_id,resume_id,vacancy_title,platform,status_norm,y_interview,application_date,resume_domain,similarity_resume_vacancy,apply_month,apply_dow
app3_00024,cand_02,R2,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-02-17,gamedev,0.5,2,5
app3_00025,cand_02,R2,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-04-08,gamedev,0.515,4,0
app3_00026,cand_03,R2,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-11-16,gamedev,0.462,11,5
app3_00027,cand_04,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-09-14,gamedev,0.406,9,5
app3_00028,cand_04,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-01-08,gamedev,0.312,1,0
app3_00029,cand_03,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-05-14,gamedev,0.454,5,1
app3_00030,cand_03,R3,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-07-08,gamedev,0.675,7,0
app3_00031,cand_05,R2,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-02-10,gamedev,0.335,2,5
app3_00032,cand_05,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-07-20,gamedev,0.575,7,5
app3_00033,cand_04,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-02-05,gamedev,0.707,2,0
app3_00034,cand_04,R2,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-03-02,gamedev,0.567,3,5
app3_00035,cand_03,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-02-26,gamedev,0.61,2,0
app3_00036,cand_04,R3,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-03-08,gamedev,0.624,3,4
app3_00037,cand_06,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-09-23,gamedev,0.42,9,0
app3_00038,cand_02,R3,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-10-27,gamedev,0.672,10,6
app3_00039,cand_02,R3,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-05-08,gamedev,0.625,5,2
app3_00040,cand_01,R2,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-02-13,gamedev,0.427,2,1
app3_00041,cand_03,R2,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-02-16,gamedev,0.541,2,4
app3_00042,cand_02,R3,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-06-02,gamedev,0.695,6,6
app3_00043,cand_03,R1,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-07-26,gamedev,0.605,7,4
app3_00044,cand_06,R3,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-12-21,gamedev,0.661,12,5
app3_00045,cand_06,R3,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-06-23,gamedev,0.657,6,6
app3_00046,cand_01,R3,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-12-23,gamedev,0.636,12,0
app3_00047,cand_04,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-08-17,gamedev,0.379,8,5
app3_00048,cand_06,R2,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-05-18,gamedev,0.426,5,5
app3_00049,cand_02,R3,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-09-20,gamedev,0.796,9,4
app3_00050,cand_03,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-08-19,gamedev,0.4,8,0
app3_00051,cand_05,R2,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-09-23,gamedev,0.407,9,0
app3_00052,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-02-02,gamedev,0.475,2,4
app3_00053,cand_01,R3,Senior Unity Developer - Architecture / Tools,HH,screening,1,2024-04-29,gamedev,0.753,4,0
app3_00054,cand_05,R3,Unity Developer (WebGL) - Casual Games,InGameJob,screening,1,2024-10-12,gamedev,0.617,10,5
app3_00055,cand_04,R2,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-12-24,gamedev,0.762,12,1
app3_00056,cand_05,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-09-28,gamedev,0.502,9,5
app3_00057,cand_06,R3,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-10-19,gamedev,0.484,10,5
app3_00058,cand_06,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-02-28,gamedev,0.566,2,2
app3_00059,cand_05,R2,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-05-16,gamedev,0.462,5,3
app3_00060,cand_06,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-12-05,gamedev,0.353,12,3
app3_00061,cand_05,R1,Unity Developer - Hypercasual / LiveOps,HH,test,1,2024-06-15,gamedev,0.281,6,5
app3_00062,cand_05,R1,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-03-02,gamedev,0.261,3,5
app3_00063,cand_04,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-09-08,gamedev,0.397,9,6
app3_00064,cand_03,R1,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-11-29,gamedev,0.348,11,4
app3_00065,cand_02,R2,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-02-07,gamedev,0.525,2,2
app3_00066,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-07-06,gamedev,0.438,7,5
app3_00067,cand_04,R1,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-08-09,gamedev,0.352,8,4
app3_00068,cand_06,R3,Senior Unity Developer - VR/AR,LinkedIn,screening,1,2024-01-10,gamedev,0.43,1,2
app3_00069,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-12-21,gamedev,0.596,12,5
app3_00070,cand_03,R2,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-08-16,gamedev,0.568,8,4
app3_00071,cand_01,R3,Unity Developer (WebGL) - Casual Games,InGameJob,screening,1,2024-02-18,gamedev,0.563,2,6
app3_00072,cand_03,R1,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-11-09,gamedev,0.314,11,5
app3_00073,cand_01,R3,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-08-23,gamedev,0.622,8,4
app3_00074,cand_05,R2,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-01-07,gamedev,0.476,1,6
app3_00075,cand_03,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-02-28,gamedev,0.534,2,2
app3_00076,cand_06,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-06-02,gamedev,0.23,6,6
app3_00077,cand_01,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-04-15,gamedev,0.354,4,0
app3_00078,cand_01,R2,Unity Developer (WebGL) - Casual Games,InGameJob,interview,1,2024-03-16,gamedev,0.543,3,5
app3_00079,cand_04,R3,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-07-19,gamedev,0.634,7,4
app3_00080,cand_02,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-02-07,gamedev,0.379,2,2
app3_00081,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-03-10,gamedev,0.424,3,6
app3_00082,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-09-14,gamedev,0.268,9,5
app3_00083,cand_05,R3,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-07-16,gamedev,0.49,7,1
app3_00084,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-03-07,gamedev,0.454,3,3
app3_00085,cand_01,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-12-22,gamedev,0.443,12,6
app3_00086,cand_01,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-11-02,gamedev,0.403,11,5
app3_00087,cand_02,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-07-12,gamedev,0.666,7,4
app3_00088,cand_01,R2,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-09-10,gamedev,0.565,9,1
app3_00089,cand_03,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-05-14,gamedev,0.505,5,1
app3_00090,cand_06,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-01-26,gamedev,0.413,1,4
app3_00091,cand_04,R3,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-06-26,gamedev,0.659,6,2
app3_00092,cand_06,R1,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-06-22,gamedev,0.128,6,5
app3_00093,cand_01,R2,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-09-27,gamedev,0.552,9,4
app3_00094,cand_02,R3,Senior Unity Developer - VR/AR,LinkedIn,interview,1,2024-11-18,gamedev,0.688,11,0
app3_00095,cand_01,R3,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-05-28,gamedev,0.631,5,1
app3_00096,cand_01,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-08-31,gamedev,0.358,8,5
app3_00097,cand_02,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-09-01,gamedev,0.481,9,6
app3_00098,cand_03,R3,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-04-03,gamedev,0.558,4,2
app3_00099,cand_03,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-07-04,gamedev,0.524,7,3
app3_00100,cand_06,R1,Unity Developer (Middle) - Mobile F2P,HH,screening,1,2024-09-03,gamedev,0.53,9,1
app3_00101,cand_02,R2,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-05-05,gamedev,0.53,5,6
app3_00102,cand_04,R3,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-10-29,gamedev,0.768,10,1
app3_00103,cand_06,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-12-16,gamedev,0.542,12,0
app3_00104,cand_03,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-05-04,gamedev,0.286,5,5
app3_00105,cand_05,R3,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-04-07,gamedev,0.589,4,6
app3_00106,cand_03,R2,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-05-10,gamedev,0.497,5,4
app3_00107,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-04-06,gamedev,0.339,4,5
app3_00108,cand_04,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-11-17,gamedev,0.365,11,6
app3_00109,cand_03,R2,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-04-18,gamedev,0.472,4,3
app3_00110,cand_01,R3,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-01-07,gamedev,0.531,1,6
app3_00111,cand_04,R2,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-10-24,gamedev,0.536,10,3
app3_00112,cand_05,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-06-13,gamedev,0.527,6,3
app3_00113,cand_05,R3,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-05-06,gamedev,0.455,5,0
app3_00114,cand_01,R3,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-11,gamedev,0.543,9,2
app3_00115,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-04-07,gamedev,0.636,4,6
app3_00116,cand_03,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-07-26,gamedev,0.333,7,4
app3_00117,cand_06,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-01-21,gamedev,0.508,1,6
app3_00118,cand_06,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-08-16,gamedev,0.539,8,4
app3_00119,cand_04,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-10-28,gamedev,0.692,10,0
app3_00120,cand_02,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-10-06,gamedev,0.314,10,6
app3_00121,cand_03,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-03-30,gamedev,0.435,3,5
app3_00122,cand_06,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-12-25,gamedev,0.379,12,2
app3_00123,cand_03,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-09-18,gamedev,0.448,9,2
app3_00124,cand_01,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-07-05,gamedev,0.691,7,4
app3_00125,cand_02,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-03-29,gamedev,0.427,3,4
app3_00126,cand_01,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-02-06,gamedev,0.307,2,1
app3_00127,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-07-31,gamedev,0.464,7,2
app3_00128,cand_02,R1,Unity Developer (WebGL) - Casual Games,InGameJob,screening,1,2024-03-17,gamedev,0.686,3,6
app3_00129,cand_02,R1,Unity Developer - Hypercasual / LiveOps,HH,screening,1,2024-02-14,gamedev,0.241,2,2
app3_00130,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-04-15,gamedev,0.524,4,0
app3_00131,cand_06,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-07-23,gamedev,0.552,7,1
app3_00132,cand_04,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-04-25,gamedev,0.416,4,3
app3_00133,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-02-20,gamedev,0.391,2,1
app3_00134,cand_04,R3,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-09-02,gamedev,0.629,9,0
app3_00135,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-10-16,gamedev,0.356,10,2
app3_00136,cand_05,R3,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-05-25,gamedev,0.457,5,5
app3_00137,cand_05,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-11-22,gamedev,0.32,11,4
app3_00138,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-04-27,gamedev,0.392,4,5
app3_00139,cand_02,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-08-27,gamedev,0.395,8,1
app3_00140,cand_01,R2,Unity Developer (Middle) - Mobile F2P,HH,interview,1,2024-02-29,gamedev,0.526,2,3
app3_00141,cand_03,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-12-09,gamedev,0.235,12,0
app3_00142,cand_04,R3,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-12-13,gamedev,0.581,12,4
app3_00143,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-05-13,gamedev,0.444,5,0
app3_00144,cand_06,R3,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-11-11,gamedev,0.705,11,0
app3_00145,cand_05,R3,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-03-12,gamedev,0.74,3,1
app3_00146,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-05-27,gamedev,0.308,5,0
app3_00147,cand_03,R1,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-11-08,gamedev,0.228,11,4
app3_00148,cand_05,R3,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-02-05,gamedev,0.764,2,0
app3_00149,cand_06,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-02-05,gamedev,0.42,2,0
app3_00150,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-07-10,gamedev,0.392,7,2
app3_00151,cand_06,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-02-11,gamedev,0.521,2,6
app3_00152,cand_05,R2,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-12-22,gamedev,0.664,12,6
app3_00153,cand_02,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-01-01,gamedev,0.764,1,0
app3_00154,cand_01,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-04-30,gamedev,0.662,4,1
app3_00155,cand_05,R2,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-11-12,gamedev,0.78,11,1
app3_00156,cand_06,R2,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-11-03,gamedev,0.642,11,6
app3_00157,cand_04,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-07-31,gamedev,0.43,7,2
app3_00158,cand_05,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-10-16,gamedev,0.414,10,2
app3_00159,cand_04,R2,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-07-19,gamedev,0.561,7,4
app3_00160,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-01-22,gamedev,0.365,1,0
app3_00161,cand_05,R2,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-06-03,gamedev,0.416,6,0
app3_00162,cand_02,R1,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-09-23,gamedev,0.313,9,0
app3_00163,cand_02,R1,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-01-04,gamedev,0.373,1,3
app3_00164,cand_03,R1,Senior Unity Developer - VR/AR,LinkedIn,screening,1,2024-06-10,gamedev,0.352,6,0
app3_00165,cand_01,R3,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-07-09,gamedev,0.606,7,1
app3_00166,cand_05,R2,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-07-27,gamedev,0.403,7,5
app3_00167,cand_04,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-11-22,gamedev,0.415,11,4
app3_00168,cand_06,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-04-02,gamedev,0.567,4,1
app3_00169,cand_04,R2,Senior Unity Developer - VR/AR,LinkedIn,screening,1,2024-11-23,gamedev,0.716,11,5
app3_00170,cand_05,R1,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-07-11,gamedev,0.182,7,3
app3_00171,cand_04,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-05-26,gamedev,0.437,5,6
app3_00172,cand_03,R2,Unity Developer (Middle) - Mobile F2P,HH,screening,1,2024-10-07,gamedev,0.488,10,0
app3_00173,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-23,gamedev,0.256,9,0
app3_00174,cand_01,R2,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-06-27,gamedev,0.461,6,3
app3_00175,cand_06,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-10-09,gamedev,0.493,10,2
app3_00176,cand_02,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-05-08,gamedev,0.334,5,2
app3_00177,cand_06,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-05-23,gamedev,0.454,5,3
app3_00178,cand_05,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-07-31,gamedev,0.245,7,2
app3_00179,cand_03,R3,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-07-23,gamedev,0.548,7,1
app3_00180,cand_03,R3,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-10-10,gamedev,0.608,10,3
app3_00181,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-05-05,gamedev,0.673,5,6
app3_00182,cand_01,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-03-19,gamedev,0.518,3,1
app3_00183,cand_01,R3,Unity Developer - Hypercasual / LiveOps,HH,interview,1,2024-10-19,gamedev,0.705,10,5
app3_00184,cand_02,R3,Senior Unity Developer - Architecture / Tools,HH,screening,1,2024-05-23,gamedev,0.63,5,3
app3_00185,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,screening,1,2024-07-14,gamedev,0.381,7,6
app3_00186,cand_03,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-08-30,gamedev,0.6,8,4
app3_00187,cand_03,R2,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-08-30,gamedev,0.462,8,4
app3_00188,cand_06,R2,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-06-10,gamedev,0.5,6,0
app3_00189,cand_01,R1,Senior Unity Developer - Architecture / Tools,HH,screening,1,2024-01-13,gamedev,0.407,1,5
app3_00190,cand_02,R3,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-08-26,gamedev,0.6,8,0
app3_00191,cand_03,R3,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-04-13,gamedev,0.769,4,5
app3_00192,cand_02,R2,Unity Developer (Middle) - Mobile F2P,HH,screening,1,2024-07-25,gamedev,0.611,7,3
app3_00193,cand_02,R3,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-12-04,gamedev,0.551,12,2
app3_00194,cand_04,R1,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-10-20,gamedev,0.449,10,6
app3_00195,cand_05,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-01-05,gamedev,0.208,1,4
app3_00196,cand_06,R3,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-05-08,gamedev,0.469,5,2
app3_00197,cand_02,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-09-20,gamedev,0.383,9,4
app3_00198,cand_03,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-01,gamedev,0.338,9,6
app3_00199,cand_02,R2,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-06-04,gamedev,0.516,6,1
app3_00200,cand_03,R2,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-04-12,gamedev,0.508,4,4
app3_00201,cand_01,R1,Unity Developer - Hypercasual / LiveOps,HH,screening,1,2024-02-02,gamedev,0.385,2,4
app3_00202,cand_01,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-06-20,gamedev,0.484,6,3
app3_00203,cand_01,R3,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-04-27,gamedev,0.628,4,5
app3_00204,cand_05,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-08-21,gamedev,0.425,8,2
app3_00205,cand_04,R3,Unity Developer - Hypercasual / LiveOps,HH,screening,1,2024-10-25,gamedev,0.683,10,4
app3_00206,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-06-22,gamedev,0.677,6,5
app3_00207,cand_01,R2,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-16,gamedev,0.464,9,0
app3_00208,cand_04,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-02-15,gamedev,0.526,2,3
app3_00209,cand_04,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-03-17,gamedev,0.655,3,6
app3_00210,cand_05,R1,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-09-05,gamedev,0.127,9,3
app3_00211,cand_03,R3,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-04-13,gamedev,0.712,4,5
app3_00212,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-05-20,gamedev,0.471,5,0
app3_00213,cand_04,R3,Unity Developer (Middle) - Mobile F2P,HH,test,1,2024-05-12,gamedev,0.569,5,6
app3_00214,cand_06,R2,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-09-01,gamedev,0.447,9,6
app3_00215,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-12-02,gamedev,0.647,12,0
app3_00216,cand_05,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-11-12,gamedev,0.268,11,1
app3_00217,cand_01,R2,Senior Unity Developer - VR/AR,LinkedIn,screening,1,2024-11-16,gamedev,0.447,11,5
